time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-21T13:44:17.000Z,64.8226,-147.5554,14.8,2.7,ml,,,,1.07,ak,ak11745078,2015-10-21T14:11:11.958Z,"2km NNW of Badger, Alaska",earthquake
2015-10-21T13:44:11.000Z,59.947,-153.7405,189.7,2.8,ml,,,,0.67,ak,ak11745074,2015-10-21T14:10:50.035Z,"69km ENE of Old Iliamna, Alaska",earthquake
2015-10-21T12:25:09.800Z,18.9358,-65.3444,58,3.3,Md,6,284.4,0.62792238,0.38,pr,pr15294000,2015-10-21T12:51:34.711Z,"70km N of Culebra, Puerto Rico",earthquake
2015-10-21T12:21:46.110Z,40.4071655,-124.9953308,0.01,2.72,md,30,277,0.5774,0.23,nc,nc72541710,2015-10-21T14:27:11.313Z,"64km WSW of Ferndale, California",earthquake
2015-10-21T11:33:24.820Z,4.8405,126.1927,84.51,4.6,mb,,103,2.297,0.43,us,us10003q69,2015-10-21T11:55:21.718Z,"102km SE of Sarangani, Philippines",earthquake
2015-10-21T10:54:47.690Z,47.2775002,-122.2861633,0.02,2.68,md,70,34,0.2363,0.33,uw,uw61081257,2015-10-21T13:53:19.534Z,"0km WSW of Lakeland South, Washington",earthquake
2015-10-21T09:28:30.000Z,52.6654,-168.5275,46.6,2.9,ml,,,,0.54,ak,ak11744966,2015-10-21T13:47:37.300Z,"38km SE of Nikolski, Alaska",earthquake
2015-10-21T09:22:05.730Z,-22.5002,-67.726,157.49,4.5,mb,,32,0.614,1.16,us,us10003q60,2015-10-21T09:57:11.984Z,"68km NE of San Pedro de Atacama, Chile",earthquake
2015-10-21T07:45:54.420Z,50.8824,179.339,24.23,4.4,mb,,221,0.496,1.46,us,us10003q5r,2015-10-21T09:43:35.802Z,"116km WSW of Amatignak Island, Alaska",earthquake
2015-10-21T06:04:49.800Z,37.3487,141.0968,28.2,5.4,mb,,33,0.573,1.18,us,us10003q5k,2015-10-21T14:00:37.512Z,"17km SSE of Namie, Japan",earthquake
2015-10-21T05:06:11.850Z,40.3255005,-124.6786652,15.79,2.91,md,38,236,0.3015,0.13,nc,nc72541615,2015-10-21T13:08:40.334Z,"44km SW of Ferndale, California",earthquake
2015-10-21T04:50:45.750Z,52.5002,-169.7401,37.02,4.6,mb,,141,0.716,1.26,us,us10003q5a,2015-10-21T13:47:14.464Z,"66km ESE of Yunaska Island, Alaska",earthquake
2015-10-21T04:22:27.530Z,-14.8458,167.448,127.44,4.6,mb,,144,0.642,0.9,us,us10003q55,2015-10-21T12:25:04.391Z,"48km ENE of Port-Olry, Vanuatu",earthquake
2015-10-21T03:53:58.050Z,33.4684,140.1999,87.96,4.7,mb,,102,0.478,1.18,us,us10003q4t,2015-10-21T11:56:26.558Z,"56km NE of Hachijo-jima, Japan",earthquake
2015-10-21T00:28:56.000Z,63.0753,-143.7477,5.8,2.5,ml,,,,0.68,ak,ak11744808,2015-10-21T08:31:39.449Z,"48km SW of Tok, Alaska",earthquake
2015-10-20T23:58:24.780Z,5.7806,125.8235,84.97,4.4,mb,,88,1.303,0.54,us,us10003q3v,2015-10-21T08:01:07.038Z,"25km SE of Caburan, Philippines",earthquake
2015-10-20T23:34:51.770Z,45.7273,-77.1771,10.94,3.1,mb_lg,,148,0.691,0.59,us,us10003q3y,2015-10-21T13:51:05.350Z,"11km SSW of Pembroke, Canada",earthquake
2015-10-20T22:31:09.490Z,-14.9159,167.4825,123.1,4.7,mb,,138,0.593,1.05,us,us10003q2k,2015-10-21T06:33:37.705Z,"48km ENE of Port-Olry, Vanuatu",earthquake
2015-10-20T21:52:02.050Z,-14.8418,167.306,127.05,7.1,mww,,15,0.609,1.08,us,us10003q0q,2015-10-21T14:39:01.478Z,"35km NE of Port-Olry, Vanuatu",earthquake
2015-10-20T20:33:14.380Z,-57.4193,-65.7753,25.5,5.6,mb,,82,2.7,0.92,us,us10003pzw,2015-10-21T03:37:14.526Z,"Drake Passage",earthquake
2015-10-20T19:41:01.400Z,18.3761,-64.9207,88,2.8,Md,3,331.2,0.03952587,0.05,pr,pr15293008,2015-10-21T03:43:43.611Z,"3km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-10-20T16:40:21.390Z,32.3918333,-115.2543333,5.68,2.68,ml,20,147,0.05097,0.32,ci,ci37261575,2015-10-20T18:28:55.360Z,"7km NW of Delta, B.C., MX",earthquake
2015-10-20T15:42:22.850Z,31.8603,50.198,10,4.8,mb,,40,8.511,0.82,us,us10003pxl,2015-10-20T23:47:49.332Z,"55km SW of Farsan, Iran",earthquake
2015-10-20T13:57:43.430Z,18.6879,-60.5975,30.25,4.6,mb,,118,1.517,0.69,us,us10003pvy,2015-10-20T22:00:30.569Z,"174km NE of Codrington, Barbuda",earthquake
2015-10-20T11:21:56.000Z,58.1032,-155.7854,140.4,3.3,ml,,,,0.62,ak,ak11744168,2015-10-20T19:24:32.335Z,"82km SE of King Salmon, Alaska",earthquake
2015-10-20T10:07:56.100Z,18.9988,-65.3933,44,3.1,Md,9,241.2,0.69529603,0.27,pr,pr15293007,2015-10-20T18:39:16.915Z,"77km NNE of Luquillo, Puerto Rico",earthquake
2015-10-20T10:06:13.980Z,-30.7828,-71.5235,35.09,5.4,mb,,75,0.145,1.1,us,us10003pvh,2015-10-20T18:39:01.630Z,"37km WSW of Ovalle, Chile",earthquake
2015-10-20T10:01:40.000Z,63.1359,-151.3272,1.9,2.5,ml,,,,0.8,ak,ak11744134,2015-10-20T18:39:12.979Z,"109km NW of Talkeetna, Alaska",earthquake
2015-10-20T09:49:04.000Z,35.9789,-96.8028,5,2.5,ml,,65,,0.58,us,us10003q09,2015-10-21T02:56:06.771Z,"3km WSW of Cushing, Oklahoma",earthquake
2015-10-20T09:29:08.450Z,27.0327,140.2623,299.83,5.5,mb,,31,1.715,1.3,us,us10003pv2,2015-10-20T18:39:09.664Z,"193km W of Chichi-shima, Japan",earthquake
2015-10-20T08:36:46.390Z,39.4228,144.0381,35,4.6,mb,,155,2.674,0.32,us,us10003pus,2015-10-20T18:39:20.862Z,"179km E of Yamada, Japan",earthquake
2015-10-20T04:33:52.850Z,37.791,-121.9685,6.45,2.79,md,90,55,0.003082,0.15,nc,nc72541095,2015-10-20T23:35:05.195Z,"1km NE of San Ramon, California",earthquake
2015-10-20T04:33:04.380Z,37.7955,-121.979,5.87,2.84,md,95,47,0.002056,0.24,nc,nc72541090,2015-10-21T02:11:04.865Z,"1km N of San Ramon, California",earthquake
2015-10-20T04:06:54.580Z,-30.7799,-71.5016,37.58,4.7,mwr,,69,0.156,0.82,us,us10003pu9,2015-10-20T15:48:23.040Z,"35km SW of Ovalle, Chile",earthquake
2015-10-20T03:31:14.600Z,18.8563,-67.459,17,3,Md,18,280.8,0.46892058,0.3,pr,pr15293000,2015-10-20T11:33:48.815Z,"55km NW of San Antonio, Puerto Rico",earthquake
2015-10-20T02:52:47.600Z,17.9951,-65.587,18,2.7,Md,5,205.2,0.1060012,0.1,pr,pr15293005,2015-10-20T10:55:13.580Z,"16km SW of Esperanza, Puerto Rico",earthquake
2015-10-20T02:45:01.100Z,18.8943,-64.2655,36,2.8,Md,6,324,0.17517148,0.15,pr,pr15293004,2015-10-20T10:47:31.672Z,"64km NE of Road Town, British Virgin Islands",earthquake
2015-10-20T02:30:05.600Z,18.8969,-64.2918,36,3,Md,8,324,0.1706799,0.07,pr,pr15293003,2015-10-20T10:32:48.365Z,"63km NNE of Road Town, British Virgin Islands",earthquake
2015-10-20T01:53:00.490Z,37.465332,-118.6050034,13.91,2.62,md,33,71,0.03352,0.05,nc,nc72541000,2015-10-21T02:36:23.656Z,"17km NW of West Bishop, California",earthquake
2015-10-20T01:30:48.000Z,60.4289,-147.7183,4.7,2.8,ml,,,,1.05,ak,ak11743993,2015-10-20T09:33:24.282Z,"65km SE of Whittier, Alaska",earthquake
2015-10-20T01:18:49.310Z,20.5596667,-156.604,10.224,2.95,ml,10,155,0.3255,0.18,hv,hv61071061,2015-10-20T18:28:29.276Z,"28km SSW of Kihei, Hawaii",earthquake
2015-10-20T00:44:25.780Z,37.7890015,-121.9645004,7.54,2.52,md,43,55,0.0732,0.06,nc,nc72540930,2015-10-20T18:38:06.244Z,"1km NE of San Ramon, California",earthquake
